aid,publication_date,title,url,publisher,country,status,source_name
20190121014335802,2012-02-27T18:00:00Z,"Algeria: ""Crisis cell"" set up to deal with expected influx of Malian refugees",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:552C-N6K1-DYRV-32F9-00000-00&context=1516831,BBC Monitoring: International Reports,"Libya,People's Democratic Republic of Algeria\, Algeria,Republic of Mali\, Mali,Republic of Niger\, Niger",relevant,BulkLexisNexis
113750826,2012-02-27T06:00:00Z,,,,"Libya,People's Democratic Republic of Algeria,Republic of Mali,Republic of Niger",relevant,SWB
20190721043441646,2012-04-24T05:00:00Z,ICC reviews war crimes claims from Mali,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:55GN-J621-JBT2-34CR-00000-00&context=1516831,UPI (United Press International),"Libya,Republic of Mali",relevant,BulkLexisNexis_v2
20140708127028465,2012-03-27T12:20:12.759Z,,http://www.lexusnexus.com/,,"Libya,People's Democratic Republic of Algeria,Republic of Mali,Republic of Niger",relevant,LexisNexis
20190721042860871,2012-04-13T05:00:00Z,Mali leader issues warning to rebels,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:55D9-W3B1-JBT2-31PS-00000-00&context=1516831,UPI (United Press International),"Libya,Republic of Mali,United States",relevant,BulkLexisNexis_v2
20190331020910437,2012-03-22T05:00:00Z,UN Security Council condemns Mali coup,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:557M-H3B1-DY93-M51R-00000-00&context=1516831,Agence France Presse - English,"Libya,Republic of Mali\, Mali,United Kingdom of Great Britain and Northern Ireland\, United Kingdom",relevant,BulkLexisNexis
20140708127149955,2012-04-22T13:04:32.396Z,,http://www.lexusnexus.com/,,"Libya,Republic of Mali,United Kingdom of Great Britain and Northern Ireland",relevant,LexisNexis
20190721043442339,2012-04-19T05:00:00Z,Ban calls for release of Malian leaders,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:55FK-P8D1-JBT2-3357-00000-00&context=1516831,UPI (United Press International),"Libya,Republic of Mali",relevant,BulkLexisNexis_v2
20181214233748783,2012-04-21T05:00:00Z,Mali Leader Finds Refuge In Senegal After Coup,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:55FV-9F91-JBG3-61SG-00000-00&context=1516831,The New York Times,"Republic of Mali\, Mali,Republic of Senegal\, Senegal",relevant,BulkLexisNexis
20190721042860220,2012-04-18T05:00:00Z,Ban frets over West African crises,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:55FC-R3F1-JBT2-32S0-00000-00&context=1516831,UPI (United Press International),"Grand Duchy of Luxembourg,Libya,Republic of Mali",relevant,BulkLexisNexis_v2
20190701032443963,2012-03-30T05:00:00Z,LEAD: Three-day ultimatum hangs over Mali coup leaders,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:559B-8K41-JCKJ-J0MD-00000-00&context=1516831,dpa international (Englischer Dienst),"Libya,Republic of Cote d'Ivoire\, Ivory Coast,Republic of Mali\, Mali",relevant,BulkLexisNexis
20190617000159565,2012-04-20T05:00:00Z,Libya to play World Cup qualifier in Tunisia,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:55FT-NK11-JBGK-G212-00000-00&context=1516831,The Associated Press,"Arab Republic of Egypt\, Egypt,Federative Republic of Brazil\, Brazil,Libya,Republic of Cameroon\, Cameroon,Republic of Mali\, Mali",relevant,BulkLexisNexis
20220114201323842,2012-04-20T05:00:00Z,Libya to play World Cup qualifier in Tunisia,,Associated Press Online,"Arab Republic of Egypt,Federative Republic of Brazil,Libya,Republic of Cameroon,Republic of Mali",irrelevant,BulkLexisNexis_v2
20190121013125041,2012-02-01T18:00:00Z,Highlights from Malian press 31 Jan 12,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:54VS-SH61-DYRV-32VF-00000-00&context=1516831,BBC Monitoring: International Reports,"People's Democratic Republic of Algeria\, Algeria,Republic of France\, France,Republic of Mali\, Mali",relevant,BulkLexisNexis
20140708126899276,2012-03-01T12:33:37.637Z,,http://www.lexusnexus.com/,,"People's Democratic Republic of Algeria,Republic of France,Republic of Mali",relevant,LexisNexis
113737081,2012-02-01T16:32:35.112Z,,,,"People's Democratic Republic of Algeria,Republic of France,Republic of Mali",relevant,SWB
20190701032443940,2012-03-30T05:00:00Z,2ND LEAD: Tuareg rebels advance as Mali coup leaders face ultimatum,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:559B-8K41-JCKJ-J0N7-00000-00&context=1516831,dpa international (Englischer Dienst),"Libya,Republic of Cote d'Ivoire\, Ivory Coast,Republic of Mali\, Mali",relevant,BulkLexisNexis
20190331021320561,2012-04-02T05:00:00Z,Sanctions threat and rebel push pile pressure on Mali junta,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:55B0-69M1-DY93-M2B8-00000-00&context=1516831,Agence France Presse - English,"Republic of Mali\, Mali,United States",relevant,BulkLexisNexis
20190331015833640,2012-02-28T06:00:00Z,"30,000 Ivorian and Liberian refugees repatriated: IOM",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:552R-BFS1-JBV1-X232-00000-00&context=1516831,Agence France Presse - English,"Burkina Faso,Republic of Cote d'Ivoire\, Ivory Coast,Republic of Ghana\, Ghana,Republic of Guinea\, Guinea,Republic of Liberia\, Liberia,Republic of Mali\, Mali",relevant,BulkLexisNexis
20140708127147966,2012-04-22T13:04:32.396Z,,http://www.lexusnexus.com/,,"Arab Republic of Egypt,Federal Republic of Nigeria,Libya,Republic of Mali,Republic of Tunisia,Russian Federation",relevant,LexisNexis
20140708127033868,2012-03-28T12:22:02.154Z,,http://www.lexusnexus.com/,,"Burkina Faso,Republic of Cote d'Ivoire,Republic of Ghana,Republic of Guinea,Republic of Liberia,Republic of Mali",relevant,LexisNexis
