aid,publication_date,title,url,publisher,country,status,source_name
77576930,2010-10-29T20:02:07Z,European Council Conclusions on the Sahel - PR-USA.net (press release),,,"Islamic Republic of Mauritania,Republic of Mali,Republic of Niger",relevant,Web
82143735,2010-12-15T14:50:48Z,British women's gruelling trip from Alhaurin to Timbuktu - Euro Weekly News,,,"Islamic Republic of Mauritania,Kingdom of Morocco,Republic of Mali,Republic of Niger,Republic of Senegal,Western Sahara",irrelevant,Web
76501086,2010-10-13T19:42:38Z,Philanthropic Sierra Leonean helps amputees - Awoko,,,"Islamic Republic of Mauritania,Republic of Sierra Leone",relevant,Web
20190721030139140,2010-11-17T06:00:00Z,Rifts curb North Africa's war on al-Qaida,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:51GY-0G81-DY83-T37G-00000-00&context=1516831,UPI (United Press International),"Islamic Republic of Mauritania,Kingdom of Morocco,Kingdom of Spain,Libya,People's Democratic Republic of Algeria,Republic of Chad,Republic of France,Republic of Mali,Republic of Niger,Republic of Tunisia,United States,Western Sahara",relevant,BulkLexisNexis_v2
77832987,2010-11-02T03:34:06Z,US warrants criticism for rights violations - RU Daily Targum,,,"Federated States of Micronesia,Islamic Republic of Mauritania,Jamaica,Lebanon,Libya,Mongolia,Principality of Andorra,Republic of Bulgaria,Republic of Croatia,Republic of France,Republic of Honduras,Republic of Liberia,Republic of Malawi,Republic of Maldives,Republic of Panama,Republic of the Marshall Islands,United States",relevant,Web
76486980,2010-10-13T18:06:49Z,Organised crime seen threatening W. Africa reforms - Africa IBTimes,,,"Federal Republic of Nigeria,Islamic Republic of Mauritania,Republic of Cote d'Ivoire,Republic of Ghana,Republic of Guinea,Republic of Liberia,Republic of Niger,Republic of Sierra Leone,United States",relevant,Web
81359268,2010-12-08T04:17:56Z,"Divided Ivory Coast Presidency Results in ECOWAS Expulsion 
    (ContributorNetwork)",,,"Burkina Faso,Federal Republic of Nigeria,Islamic Republic of Mauritania,Republic of Cote d'Ivoire,Republic of Guinea,Republic of Kenya,Republic of Liberia,Republic of Mali,Republic of Zimbabwe,United States",relevant,Web
20190120015248573,2010-09-26T17:00:00Z,"Al-Jazeera TV discusses Al-Qa'idah activity in Niger, return of French forces",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:513N-YVM1-JC8S-C17T-00000-00&context=1516831,BBC Monitoring: International Reports,"Islamic Republic of Mauritania\, Mauritania,Libya,People's Democratic Republic of Algeria\, Algeria,Republic of France\, France,Republic of Mali\, Mali,Republic of Niger\, Niger,United States",relevant,BulkLexisNexis
20190120015315260,2010-09-26T17:00:00Z,"Al-Jazeera TV discusses Al-Qa'idah activity in Niger, return of French forces",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:513T-V4T1-JC8S-C2M8-00000-00&context=1516831,BBC Monitoring: International Reports,"Islamic Republic of Mauritania\, Mauritania,Libya,People's Democratic Republic of Algeria\, Algeria,Republic of France\, France,Republic of Mali\, Mali,Republic of Niger\, Niger,United States",relevant,BulkLexisNexis
113486759,2010-09-26T15:29:18.269Z,,,,"Islamic Republic of Mauritania,Libya,People's Democratic Republic of Algeria,Republic of France,Republic of Mali,Republic of Niger,United States",relevant,SWB
82079694,2010-12-15T01:14:54Z,Report: US mulls African military base - PoliJAM,,,"Federal Republic of Germany,Islamic Republic of Mauritania,People's Democratic Republic of Algeria,Republic of Iraq,Republic of Mali,United States",relevant,Web
20190721030346924,2010-12-14T06:00:00Z,Report: U.S. mulls African base,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:51PP-6DK1-JBT2-32YD-00000-00&context=1516831,UPI (United Press International),"Federal Republic of Germany,Islamic Republic of Mauritania,People's Democratic Republic of Algeria,Republic of Iraq,Republic of Mali,United States",relevant,BulkLexisNexis_v2
79147169,2010-11-15T17:03:23Z,Freedom of belief must be a freedom to co-exist - New Europe,,,"Democratic People's Republic of Korea,Islamic Republic of Afghanistan,Islamic Republic of Iran,Islamic Republic of Mauritania,Italian Republic,Kingdom of Saudi Arabia,Lao People's Democratic Republic,Republic of Maldives,Republic of Uzbekistan,Republic of Yemen,Republic of the Sudan,Somalia",relevant,Web
20140707071556750,2010-10-27T00:15:38.188Z,,http://www.lexusnexus.com/,,"Islamic Republic of Mauritania,Libya,People's Democratic Republic of Algeria,Republic of France,Republic of Mali,Republic of Niger,United States",relevant,LexisNexis
75675848,2010-10-05T08:04:48Z,African progress threatened by &lsquo;democratic recession&rsquo;,,,"Democratic Republic of the Congo,Federal Republic of Nigeria,Islamic Republic of Mauritania,Republic of Chad,Republic of Ghana,Republic of Guinea,Republic of Liberia,Republic of Madagascar,Republic of Mauritius,Republic of South Africa,Republic of Zimbabwe,Republic of the Congo,Somalia,State of Eritrea",relevant,Web
20190120020251927,2010-10-20T17:00:00Z,"""Welcome surprises, sombre realities"" in ninth RSF press freedom index",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:518T-8B71-JC8S-C0RN-00000-00&context=1516831,BBC Monitoring: International Reports,"Arab Republic of Egypt\, Egypt,Bangladesh,Bolivarian Republic of Venezuela\, Venezuela,Bosnia and Herzegovina,Brunei Darussalam\, Brunei,Burkina Faso,Central African Republic,Commonwealth of Australia\, Australia,Czechia,Democratic People's Republic of Korea\, North Korea,Democratic Republic of the Congo,Democratic Socialist Republic of Sri Lanka\, Sri Lanka,Dominican Republic,Federal Democratic Republic of Ethiopia\, Ethiopia,Federal Democratic Republic of Nepal\, Patheka\, Nepal,Federal Republic of Germany\, Germany,Federal Republic of Nigeria\, Nigeria,Federative Republic of Brazil\, Brazil,Gabonese Republic\, Gabon,Georgia,Grand Duchy of Luxembourg\, Luxembourg,Hellenic Republic\, Greece,Hungary,Independent State of Papua New Guinea\, Papua New Guinea,Independent State of Samoa\, Samoa,Ireland,Islamic Republic of Afghanistan\, Afghanistan,Islamic Republic of Iran\, Iran,Islamic Republic of Pakistan\, Pakistan,Jamaica,Japan,Kingdom of Bahrain\, Bahrain,Kingdom of Belgium\, Belgium,Kingdom of Bhutan\, Bhutan,Kingdom of Cambodia\, Cambodia,Kingdom of Denmark\, Denmark,Kingdom of Lesotho\, Lesotho,Kingdom of Morocco\, Morocco,Kingdom of Norway\, Norway,Kingdom of Saudi Arabia\, Saudi Arabia,Kingdom of Swaziland\, Swaziland,Kingdom of Sweden\, Sweden,Kingdom of Thailand\, Thailand,Kingdom of Tonga\, Tonga,Kingdom of the Netherlands\, Netherlands,Kyrgyz Republic\, Kyrgyzstan,Lao People's Democratic Republic\, Laos,Libya,Malaysia,Mexico,Montenegro,People's Democratic Republic of Algeria\, Algeria,People's Republic of China\, China,Plurinational State of Bolivia\, Bolivia,Repubblica Italiana\, Italy,Republic of Angola\, Angola,Republic of Armenia\, Armenia,Republic of Azerbaijan\, Azerbaijan,Republic of Belarus\, Belarus,Republic of Benin\, Benin,Republic of Botswana\, Botswana,Republic of Bulgaria\, Bulgaria,Republic of Burundi\, Burundi,Republic of Cabo Verde\, Cape Verde,Republic of Cameroon\, Cameroon,Republic of Colombia\, Colombia,Republic of Costa Rica\, Costa Rica,Republic of Croatia\, Croatia,Republic of Cuba\, Cuba,Republic of Cyprus\, Cyprus,Republic of Djibouti\, Djibouti,Republic of Ecuador\, Ecuador,Republic of El Salvador\, El Salvador,Republic of Equatorial Guinea\, Equatorial Guinea,Republic of Estonia\, Estonia,Republic of Fiji\, Fiji,Republic of Finland\, Finland,Republic of France\, France,Republic of Ghana\, Ghana,Republic of Guinea\, Guinea,Republic of Honduras\, Honduras,Republic of Iceland\, Iceland,Republic of India\, India,Republic of Indonesia\, Indonesia,Republic of Iraq\, Iraq,Republic of Kazakhstan\, Kazakhstan,Republic of Kenya\, Kenya,Republic of Korea\, South Korea,Republic of Kosovo\, Kosovo,Republic of Latvia\, Latvia,Republic of Lithuania\, Lithuania,Republic of Madagascar\, Madagascar,Republic of Malawi\, Malawi,Republic of Maldives\, Maldives,Republic of Mali\, Mali,Republic of Mauritius\, Mauritius,Republic of Mozambique\, Mozambique,Republic of Namibia\, Namibia,Republic of Niger\, Niger,Republic of Peru\, Peru,Republic of Rwanda\, Rwanda,Republic of Senegal\, Senegal,Republic of Seychelles\, Seychelles,Republic of Sierra Leone\, Sierra Leone,Republic of Singapore\, Singapore,Republic of South Africa\, South Africa,Republic of Tajikistan\, Tajikistan,Republic of Trinidad and Tobago\, Trinidad and Tobago,Republic of Tunisia\, Tunisia,Republic of Uzbekistan\, Uzbekistan,Republic of Yemen\, Yemen,Republic of the Congo,Republic of the Philippines\, Philippines,Republic of the Sudan\, Sudan,Romania,Russian Federation\, Russia,Slovak Republic\, Slovakia,Socialist Republic of Vietnam\, Vietnam,Somalia,State of Eritrea\, Eritrea,State of Israel\, Israel,State of Kuwait\, Kuwait,State of Qatar\, Qatar,Sultanate of Oman\, Oman,Switzerland,Syrian Arab Republic\, Syria,Taiwan,Turkmenistan,Ukraine,Union of Burma\, Myanmar,Union of the Comoros\, Comoros,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland\, United Kingdom,United Republic of Tanzania\, Tanzania,United States",relevant,BulkLexisNexis
20140707072455079,2010-11-21T01:24:38.052Z,,http://www.lexusnexus.com/,,"Arab Republic of Egypt,Bangladesh,Bolivarian Republic of Venezuela,Bosnia and Herzegovina,Brunei Darussalam,Burkina Faso,Central African Republic,Commonwealth of Australia,Czechia,Democratic People's Republic of Korea,Democratic Republic of the Congo,Democratic Socialist Republic of Sri Lanka,Dominican Republic,Eswatini,Federal Democratic Republic of Ethiopia,Federal Democratic Republic of Nepal,Federal Republic of Germany,Federal Republic of Nigeria,Federative Republic of Brazil,Gabonese Republic,Georgia,Grand Duchy of Luxembourg,Hellenic Republic,Hungary,Independent State of Papua New Guinea,Independent State of Samoa,Ireland,Islamic Republic of Afghanistan,Islamic Republic of Iran,Islamic Republic of Pakistan,Italian Republic,Jamaica,Japan,Kingdom of Bahrain,Kingdom of Belgium,Kingdom of Bhutan,Kingdom of Cambodia,Kingdom of Denmark,Kingdom of Lesotho,Kingdom of Morocco,Kingdom of Norway,Kingdom of Saudi Arabia,Kingdom of Sweden,Kingdom of Thailand,Kingdom of Tonga,Kingdom of the Netherlands,Kyrgyz Republic,Lao People's Democratic Republic,Libya,Malaysia,Mexico,Montenegro,New Zealand,People's Democratic Republic of Algeria,People's Republic of China,Plurinational State of Bolivia,Republic of Angola,Republic of Armenia,Republic of Azerbaijan,Republic of Belarus,Republic of Benin,Republic of Botswana,Republic of Bulgaria,Republic of Burundi,Republic of Cabo Verde,Republic of Cameroon,Republic of Colombia,Republic of Costa Rica,Republic of Croatia,Republic of Cuba,Republic of Cyprus,Republic of Djibouti,Republic of Ecuador,Republic of El Salvador,Republic of Equatorial Guinea,Republic of Estonia,Republic of Fiji,Republic of Finland,Republic of France,Republic of Ghana,Republic of Guinea,Republic of Honduras,Republic of Iceland,Republic of India,Republic of Indonesia,Republic of Iraq,Republic of Kazakhstan,Republic of Kenya,Republic of Korea,Republic of Kosovo,Republic of Latvia,Republic of Lithuania,Republic of Madagascar,Republic of Malawi,Republic of Maldives,Republic of Mali,Republic of Malta,Republic of Mauritius,Republic of Mozambique,Republic of Namibia,Republic of Niger,Republic of Peru,Republic of Rwanda,Republic of Senegal,Republic of Seychelles,Republic of Sierra Leone,Republic of Singapore,Republic of South Africa,Republic of Tajikistan,Republic of Trinidad and Tobago,Republic of Tunisia,Republic of Uzbekistan,Republic of Yemen,Republic of Zimbabwe,Republic of the Congo,Republic of the Philippines,Republic of the Sudan,Romania,Russian Federation,Slovak Republic,Socialist Republic of Vietnam,Somalia,State of Eritrea,State of Israel,State of Kuwait,State of Qatar,Sultanate of Oman,Switzerland,Syrian Arab Republic,Taiwan,Turkmenistan,Ukraine,Union of Burma,Union of the Comoros,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States",relevant,LexisNexis
