aid,publication_date,title,url,publisher,country,status,source_name
108880899,2011-08-26T12:05:38Z,El NiÃ±o doubles risk of civil wars â€”study - GMANews.TV,,,"Commonwealth of Australia,Democratic Republic of the Congo,Republic of Angola,Republic of Colombia,Republic of El Salvador,Republic of Haiti,Republic of India,Republic of Indonesia,Republic of Peru,Republic of Rwanda,Republic of Uganda,Republic of the Congo,Republic of the Philippines,Republic of the Sudan,State of Eritrea,Union of Burma",relevant,Web
108678500,2011-08-24T18:02:36Z,El Nino doubles risk of civil wars: study - WHTC,,,"Commonwealth of Australia,Democratic Republic of the Congo,Republic of Angola,Republic of Colombia,Republic of El Salvador,Republic of Haiti,Republic of India,Republic of Indonesia,Republic of Peru,Republic of Rwanda,Republic of Uganda,Republic of the Congo,Republic of the Philippines,Republic of the Sudan,State of Eritrea,Union of Burma",relevant,Web
108805552,2011-08-25T19:48:44Z,El Nino doubles risk of civil wars in 90 countries: study - China Post,,,"Commonwealth of Australia,Democratic Republic of the Congo,Republic of Angola,Republic of Colombia,Republic of El Salvador,Republic of Haiti,Republic of India,Republic of Indonesia,Republic of Peru,Republic of Rwanda,Republic of Uganda,Republic of the Congo,Republic of the Philippines,Republic of the Sudan,State of Eritrea,Union of Burma",relevant,Web
20181214222145590,2011-11-11T06:00:00Z,South Sudan Accuses Sudan of Bombing Civilian Camp Amid Fears of War,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:5479-67B1-JBG3-60MY-00000-00&context=1516831,The New York Times,"Republic of Kenya\, Kenya,Republic of the Sudan\, Sudan,South Sudan,United States",relevant,BulkLexisNexis
111599101,2011-09-19T19:30:23Z,Truce in the time of La NiÃ±a - Deccan Herald,,,"Commonwealth of Australia,Democratic Republic of the Congo,Democratic Socialist Republic of Sri Lanka,Hellenic Republic,Islamic Republic of Afghanistan,Islamic Republic of Pakistan,Kingdom of Cambodia,Kingdom of Sweden,Lao People's Democratic Republic,Mexico,Republic of Angola,Republic of Colombia,Republic of El Salvador,Republic of Ghana,Republic of Haiti,Republic of India,Republic of Indonesia,Republic of Latvia,Republic of Peru,Republic of Rwanda,Republic of Trinidad and Tobago,Republic of Tunisia,Republic of Uganda,Republic of the Congo,Republic of the Philippines,Republic of the Sudan,State of Eritrea,Union of Burma",relevant,Web
108933339,2011-08-26T20:54:21Z,El NiÃ±o linked to civil conflict in tropical countries - Environmental Expert (press release),,,"Democratic Republic of the Congo,Kingdom of Norway,Republic of Angola,Republic of Colombia,Republic of El Salvador,Republic of Haiti,Republic of Indonesia,Republic of Peru,Republic of Rwanda,Republic of Uganda,Republic of the Congo,Republic of the Philippines,Republic of the Sudan,State of Eritrea,Union of Burma,United States",relevant,Web
111678630,2011-09-20T12:29:42Z,"New State, Intractable Problems - The Mark",,,"Republic of the Sudan,South Sudan",relevant,Web
110567397,2011-09-10T13:05:23Z,Editorial: Peace Calls Promotion is Vital - Sudan Vision,,,"Republic of the Sudan,South Sudan",relevant,Web
112500654,2011-09-27T11:30:25Z,Sudan Risks Burgeoning Civil Wars If No Urgent Actions Taken - Report - AllAfrica.com,,,"Republic of the Sudan,South Sudan",relevant,Web
112513291,2011-09-27T13:09:03Z,Sudan risks burgeoning civil wars if no urgent actions taken: report - Sudan Tribune,,,"Republic of the Sudan,South Sudan",relevant,Web
