aid,publication_date,title,url,publisher,country,status,source_name
20200820065812156,2020-08-20T11:35:51Z,South Sudan out of foreign reserves as currency tumbles - Daily Monitor,https://www.monitor.co.ug:443/News/National/South-Sudan-out-of-foreign-reserves-as-currency-tumbles/688334-5611754-e2yhc2z/index.html,,Republic of the Sudan,relevant,Web
20200831050618800,2020-08-31T09:56:23Z,Sudan signs peace deal with rebel groups from Darfur |  News | Al Jazeera,https://www.aljazeera.com:443/news/2020/08/sudan-signs-peace-deal-rebel-groups-darfur-200831091517458.html,,Republic of the Sudan,relevant,Web
20200724041811945,2020-07-24T08:30:30Z,South Sudan government critic Peter Biar Ajak flees to US | South Sudan News | Al Jazeera,https://www.aljazeera.com:443/news/2020/07/south-sudan-government-critic-peter-biar-ajak-flees-200724073609574.html,,"Republic of Kenya,Republic of the Sudan,South Sudan,United States",relevant,Web
20200617114900343,2020-06-17T16:24:48Z,South Sudan takes key step forward in peace agreement | WTOP,https://wtop.com:443/africa/2020/06/south-sudan-takes-key-step-forward-in-peace-agreement/,,"Kingdom of Norway,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
20220113235856417,2020-06-17T05:00:00Z,South Sudan takes key step forward in peace agreement,,Associated Press International,"Kingdom of Norway,United Kingdom of Great Britain and Northern Ireland,United States",relevant,BulkLexisNexis_v2
20220115062544325,2020-06-17T05:00:00Z,South Sudan takes key step forward in peace agreement,,The Associated Press (same day),"Kingdom of Norway,United Kingdom of Great Britain and Northern Ireland,United States",relevant,BulkLexisNexis_v2
20220113074404620,2020-07-31T05:00:00Z,President Kiir urges South Sudanese to embrace peace,,BBC Monitoring: International Reports,"Republic of the Sudan,South Sudan",relevant,BulkLexisNexis_v2
20200811114340398,2020-08-11T15:15:40Z,Effort to Disarm Communities in South Sudan Fuels Deadly Clashes - The New York Times,https://www.nytimes.com:443/2020/08/11/world/africa/south-sudan-violence-disarmament.html,,"Republic of France,Republic of Kenya,Republic of the Sudan,South Sudan",relevant,Web
20220111181441046,2020-08-12T05:00:00Z,Bid to Disarm South Sudan Leaves 81 Dead,,The New York Times,"Republic of Kenya,Republic of the Sudan,South Sudan",relevant,BulkLexisNexis_v2
20220111181407160,2020-08-11T05:00:00Z,Effort to Disarm Communities in South Sudan Fuels Deadly Clashes,,The New York Times,"Republic of France,Republic of Kenya,Republic of the Sudan,South Sudan",relevant,BulkLexisNexis_v2
20200617113500409,2020-06-17T16:26:11Z,South Sudan takes key step forward in peace agreement,http://www.therepublic.com:80/2020/06/17/af-south-sudan-peace-deal/,,"Kingdom of Norway,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
20200831083107256,2020-08-31T11:34:23Z,"Sudan, rebel alliance reach deal in ongoing peace efforts - Washington Times",https://www.washingtontimes.com:443/news/2020/aug/31/sudan-rebel-alliance-reach-deal-in-efforts-to-end-/?utm_source=RSS_Feed&utm_medium=RSS,,Republic of the Sudan,relevant,Web
20200811030445711,2020-08-11T06:35:09Z,English Channel migrants: Where they're from and what they're escaping - BBC News,https://www.bbc.co.uk:443/news/newsbeat-53721146,,"Arab Republic of Egypt,Federal Democratic Republic of Ethiopia,Kingdom of Saudi Arabia,Republic of Chad,Republic of France,Republic of Iraq,Republic of Yemen,Republic of the Sudan,State of Eritrea,State of Israel,United Kingdom of Great Britain and Northern Ireland",relevant,Web
20200816015456537,2020-08-16T05:23:00Z,"Hunger, squalor mar South Sudan post-war unification efforts",http://www.dailyherald.com:80/article/20200816/news/308169989/,,"Republic of the Sudan,South Sudan",relevant,Web
20200721071010894,2020-07-21T11:10:23Z,"Sudan's Bashir, veteran strongman behind bars - Daily Monitor",https://www.monitor.co.ug:443/News/World/Sudan-s-Bashir--veteran-strongman-behind-bars/688340-5596802-7ti04v/index.html,,"Arab Republic of Egypt,Islamic Republic of Iran,Kingdom of Saudi Arabia,People's Republic of China,Republic of Yemen,Republic of the Sudan,Russian Federation,Syrian Arab Republic",relevant,Web
20220113074641735,2020-08-24T05:00:00Z,"Qatar, Sudan review peace talks with rebel groups",,BBC Monitoring: International Reports,"Republic of the Sudan,State of Qatar",relevant,BulkLexisNexis_v2
20200617113640815,2020-06-17T16:25:47Z,South Sudan takes key step forward in peace agreement | The Star,https://www.thestar.com:443/news/world/africa/2020/06/17/south-sudan-takes-key-step-forward-in-peace-agreement.html,,"Kingdom of Norway,Republic of the Sudan,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
20200622141509182,2020-06-22T18:28:12Z,African Union Sanctions South Sudan for Nonpayment  | Voice of America - English,https://www.voanews.com:443/africa/south-sudan-focus/african-union-sanctions-south-sudan-nonpayment,,"Federal Democratic Republic of Ethiopia,Republic of the Sudan",relevant,Web
20200831064056077,2020-08-31T11:35:01Z,"Sudan, rebel alliance reach deal in efforts to end wars | The Star",https://www.thestar.com:443/news/world/africa/2020/08/31/sudan-rebel-alliance-reach-deal-in-efforts-to-end-wars.html,,Republic of the Sudan,relevant,Web
20200811172825741,2020-08-11T18:00:00Z,Sudan says 13 killed in ethnic clashes in Port Sudan | The Daily Star,https://www.thedailystar.net:443/backpage/news/sudan-says-13-killed-ethnic-clashes-port-sudan-1943505,,Republic of the Sudan,relevant,Web
