aid,publication_date,title,url,publisher,country,status,source_name
92474749,2011-03-23T01:47:59Z,UN goes to Libya for oil - Military Technologies,,,Libya,relevant,Web
98187452,2011-05-15T03:08:55Z,UN protection of civilians at issue after Libya - Jordan Times,,,"Bosnia and Herzegovina,Federative Republic of Brazil,Libya,People's Republic of China,Republic of Cote d'Ivoire,Republic of India,Republic of Rwanda,Republic of South Africa,Russian Federation,Syrian Arab Republic",relevant,Web
98187831,2011-05-15T03:10:35Z,UN protection of civilians at issue after Libya - Saudi Gazette,,,"Bosnia and Herzegovina,Federative Republic of Brazil,Libya,People's Republic of China,Republic of Cote d'Ivoire,Republic of India,Republic of Rwanda,Republic of South Africa,Russian Federation,Syrian Arab Republic",relevant,Web
91986792,2011-03-18T14:28:50Z,A Libyan War: Making the Region Less Secure and Creating Incentives for Terrorism - American Conservative Magazine,,,"Islamic Republic of Afghanistan,Kingdom of Bahrain,Libya,Republic of Iraq,Serbia,United States",relevant,Web
20190120230108593,2011-04-28T17:00:00Z,"Turkish daily predicts Syria next for civil war, foreign military intervention",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52R9-R6J1-DYRV-32B4-00000-00&context=1516831,BBC Monitoring: International Reports,"Hashemite Kingdom of Jordan\, Jordan,Islamic Republic of Afghanistan\, Afghanistan,Islamic Republic of Iran\, Iran,Kingdom of Bahrain\, Bahrain,Kingdom of Saudi Arabia\, Saudi Arabia,Lebanon,Libya,Republic of France\, France,Republic of Iraq\, Iraq,Republic of Yemen\, Yemen,Republic of the Sudan\, Sudan,Somalia,State of Israel\, Israel,Syrian Arab Republic\, Syria,United Kingdom of Great Britain and Northern Ireland\, United Kingdom,United States",relevant,BulkLexisNexis
20140707103218776,2011-05-29T03:31:36.149Z,,http://www.lexusnexus.com/,,"Hashemite Kingdom of Jordan,Islamic Republic of Afghanistan,Islamic Republic of Iran,Kingdom of Bahrain,Kingdom of Saudi Arabia,Lebanon,Libya,Republic of France,Republic of Iraq,Republic of Yemen,Republic of the Sudan,Somalia,State of Israel,Syrian Arab Republic,United Kingdom of Great Britain and Northern Ireland,United States",relevant,LexisNexis
113593627,2011-04-27T05:00:00Z,,,,"Hashemite Kingdom of Jordan,Islamic Republic of Afghanistan,Islamic Republic of Iran,Kingdom of Bahrain,Kingdom of Saudi Arabia,Lebanon,Libya,Republic of France,Republic of Iraq,Republic of Yemen,Republic of the Sudan,Somalia,State of Israel,Syrian Arab Republic,United Kingdom of Great Britain and Northern Ireland,United States",relevant,SWB
99521577,2011-05-31T14:56:06Z,"FEATURE - Libya rebels vent fury at Gaddafi, not his troops",,,"Islamic Republic of Mauritania,Libya,People's Democratic Republic of Algeria,Republic of Chad,Republic of Iraq,Republic of Mali,Republic of Niger,Republic of Rwanda,United States",relevant,Web
98177403,2011-05-14T03:15:09Z,ANALYSIS - U.N. protection of civilians at issue after Libya,,,"Bosnia and Herzegovina,Federative Republic of Brazil,Libya,People's Republic of China,Republic of Cote d'Ivoire,Republic of India,Republic of Rwanda,Republic of South Africa,Russian Federation,Syrian Arab Republic",relevant,Web
90654869,2011-03-07T23:28:01Z,Chile's PiÃ±era dismisses ChÃ¡vez s mediation in Libya - El Universal,,,"Kingdom of Spain,Libya,Republic of Chile",relevant,Web
20140707101752094,2011-05-21T03:17:40.231Z,,http://www.lexusnexus.com/,,"Arab Republic of Egypt,Libya,Republic of Tajikistan,Republic of Tunisia",relevant,LexisNexis
94237997,2011-04-08T15:38:02Z,Oil Climbs Towards $112 - Newsroom America,,,"Federal Republic of Nigeria,Libya,State of Kuwait,United States",relevant,Web
92203805,2011-03-20T21:01:58Z,The Forex Market and the Middle Eastern Crisis - CountingPips,,,"Arab Republic of Egypt,Italian Republic,Kingdom of Bahrain,Kingdom of Saudi Arabia,Libya,Republic of Tunisia,United States",relevant,Web
96655167,2011-04-29T16:06:21Z,Analysis: The future of Libya at risk as armed mobilisation and civil war ... - DefenceWeb (press release),,,"Arab Republic of Egypt,Democratic Republic of the Congo,Islamic Republic of Afghanistan,Kingdom of Morocco,Libya,Republic of Chad,Republic of Iraq,Republic of Mali,Republic of Niger,Republic of Tunisia,Republic of the Congo,Republic of the Sudan",relevant,Web
93345685,2011-03-31T15:45:56Z,Are strikes on Libya for the right reason? - TODAYonline,,,"Libya,Union of Burma",relevant,Web
98589293,2011-05-20T16:41:44Z,NATO keeps relying on bombs in Libya - The Voice of Russia,,,"Libya,Republic of France,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
92462300,2011-03-23T00:04:14Z,EDITORIAL: Obama's schizoid war - Washington Times,,,"Bosnia and Herzegovina,Islamic Republic of Iran,Kingdom of Bahrain,Kingdom of Saudi Arabia,Libya,People's Republic of China,Republic of Iraq,Republic of Yemen,Russian Federation,Syrian Arab Republic,United States",relevant,Web
20190701022411564,2011-05-13T05:00:00Z,Russia warns West against intervention in Syria,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52VN-NDM1-JCKJ-J3WH-00000-00&context=1516831,dpa international (Englischer Dienst),"Libya,Republic of Kazakhstan\, Kazakhstan,Russian Federation\, Russia,Syrian Arab Republic\, Syria",relevant,BulkLexisNexis
90635682,2011-03-07T21:27:56Z,Why John Carney Is Wrong to Oppose a No-Fly Zone for Libya - CNBC.com,,,"Libya,United States",relevant,Web
94635324,2011-04-12T17:03:44Z,Why is Libyan conflict heating up gas prices? - Tbo.com,,,"Arab Republic of Egypt,Federal Republic of Nigeria,Kingdom of Bahrain,Kingdom of Saudi Arabia,Libya,People's Democratic Republic of Algeria,Republic of Yemen",relevant,Web
20140707084833716,2011-04-02T01:47:34.645Z,,http://www.lexusnexus.com/,,"Libya,Russian Federation",relevant,LexisNexis
20190330043727868,2011-03-10T06:00:00Z,"Castro, Morales warn West off Libya intervention",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52C1-PVR1-JBV1-X52B-00000-00&context=1516831,Agence France Presse - English,"Libya,Republic of Cuba\, Cuba",relevant,BulkLexisNexis
20140707090602268,2011-04-11T02:04:14.477Z,,http://www.lexusnexus.com/,,"Libya,Republic of Cuba",relevant,LexisNexis
93438063,2011-04-01T09:03:06Z,Oil above $107 as Gadhafi pushes back Libya rebels - MassLive.com,,,"Libya,People's Republic of China,Republic of Singapore",relevant,Web
94592329,2011-04-12T09:30:06Z,Ripples From the Arab World,,,"Libya,Republic of France,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
97221772,2011-05-04T15:32:35Z,Ripples From the Arab World,,,"Libya,Republic of France,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
94705441,2011-04-13T05:08:20Z,Libya divided as country grapples with a stalemate - Irish Independent,,,"Libya,Republic of France,Republic of Iraq,Somalia,State of Kuwait,United Kingdom of Great Britain and Northern Ireland",relevant,Web
90633197,2011-03-07T20:27:19Z,Just Say No to a 'No Fly Zone' Over Libya - CNBC.com,,,"Libya,United States",relevant,Web
93223380,2011-03-30T02:03:21Z,Global message: Gaddafi must go - Times of India,,,"Libya,People's Republic of China,Republic of France,Republic of India,Russian Federation,United Kingdom of Great Britain and Northern Ireland",relevant,Web
91909042,2011-03-18T00:01:50Z,An Unjust and Unnecessary War - American Conservative Magazine,,,"Federal Republic of Yugoslavia,Libya,United States",relevant,Web
92550892,2011-03-23T19:07:14Z,"Obama's war of choice 
    (The Week)",,,"Federal Republic of Germany,Italian Republic,Libya,Republic of France,Republic of Kosovo,Republic of Rwanda,Serbia,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
90294941,2011-03-04T11:02:26Z,Ethiopia says will evacuate citizens stranded in Libya - Sudan Tribune,,,"Federal Democratic Republic of Ethiopia,Libya,Republic of the Sudan,United Kingdom of Great Britain and Northern Ireland",relevant,Web
90599780,2011-03-07T16:25:12Z,Sudan: Ethiopia Begins Evacuating 170 Citizens From Libya,,,"Federal Democratic Republic of Ethiopia,Libya",relevant,Web
94146444,2011-04-07T21:33:52Z,"Worldwide more refugees, less help - Radio Netherlands",,,"Arab Republic of Egypt,Bangladesh,Democratic Republic of the Congo,Islamic Republic of Afghanistan,Islamic Republic of Pakistan,Italian Republic,Kingdom of Thailand,Libya,Malaysia,Republic of Colombia,Republic of Cote d'Ivoire,Republic of Haiti,Republic of Iraq,Republic of Tunisia,Republic of Uganda,Republic of Yemen,Republic of the Congo,Republic of the Sudan,Somalia,State of Eritrea,Syrian Arab Republic,Union of Burma",relevant,Web
90552797,2011-03-07T04:53:56Z,Ethiopia begins evacuating 170 citizens from Libya - Sudan Tribune,,,"Federal Democratic Republic of Ethiopia,Libya",relevant,Web
20190120030515046,2011-03-31T17:00:00Z,"Libya operation strains relations with USA, says influential Russian MP",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52HC-C2R1-DYRV-334F-00000-00&context=1516831,BBC Monitoring: International Reports,"Libya,Russian Federation\, Russia,United States",relevant,BulkLexisNexis
20140707094400706,2011-05-02T02:42:30.703Z,,http://www.lexusnexus.com/,,"Libya,Russian Federation,United States",relevant,LexisNexis
113577412,2011-03-31T15:30:28.288Z,,,,"Libya,Russian Federation,United States",relevant,SWB
