aid,publication_date,title,url,publisher,country,status,source_name
103496090,2011-07-10T09:54:00Z,Somalia recognizes independence of South Sudan,,,"Republic of the Sudan,Somalia,South Sudan",relevant,Web
20140708124243295,2011-08-10T05:41:48.920Z,,http://www.lexusnexus.com/,,"Republic of the Sudan,Somalia,South Sudan",relevant,LexisNexis
102427745,2011-06-30T02:35:40Z,1400 killed in South Sudan in 2011: UN - Press TV,,,Republic of the Sudan,relevant,Web
20190120234301148,2011-07-09T17:00:00Z,"UAE paper says ""real work"" for people of South Sudan starts 9 July",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:5392-RX31-DYRV-32X0-00000-00&context=1516831,BBC Monitoring: International Reports,"Republic of the Sudan\, Sudan,South Sudan",relevant,BulkLexisNexis
20140708124110941,2011-08-09T05:40:45.481Z,,http://www.lexusnexus.com/,,"Republic of the Sudan,South Sudan",relevant,LexisNexis
113633565,2011-07-09T05:00:00Z,,,,"Republic of the Sudan,South Sudan",relevant,SWB
103496352,2011-07-10T09:56:02Z,Somalia Recognizes Independence of South Sudan - CRIENGLISH.com,,,"Republic of the Sudan,Somalia,South Sudan",relevant,Web
103073577,2011-07-06T15:28:23Z,Tensions Mount as South Sudan Becomes Country - Christian Broadcasting Network,,,"Republic of the Sudan,South Sudan",relevant,Web
102350324,2011-06-29T14:36:06Z,"Some 1,400 killed in South Sudan violence",,,"Republic of Korea,Republic of the Sudan",relevant,Web
103517053,2011-07-10T16:14:54Z,South Sudan: A new era of uncertainty - Aljazeera.net,,,"Republic of the Sudan,South Sudan",relevant,Web
102347395,2011-06-29T14:30:41Z,Some 1400 killed in South Sudan violence - WNEP-TV,,,"Republic of Korea,Republic of the Sudan",relevant,Web
20140707103218776,2011-05-29T03:31:36.149Z,,http://www.lexusnexus.com/,,"Hashemite Kingdom of Jordan,Islamic Republic of Afghanistan,Islamic Republic of Iran,Kingdom of Bahrain,Kingdom of Saudi Arabia,Lebanon,Libya,Republic of France,Republic of Iraq,Republic of Yemen,Republic of the Sudan,Somalia,State of Israel,Syrian Arab Republic,United Kingdom of Great Britain and Northern Ireland,United States",relevant,LexisNexis
